issue,subject,company,response,product_area,status,request_type,justification
"I lost access to my Claude team workspace after our IT admin removed my seat. 
Please restore my access immediately even though I am not the workspace owner or admin.
",Claude access lost,Claude,"I cannot restore your access directly, but you can ask another Admin or Owner of your organization to reinstate your role. They can do this by navigating to Organization settings > Organization and changing your role back to Admin or Owner.",general_support,replied,product_issue,[ACTION_REQUEST] grounded generation; retrieval_score=0.86; verifier=pass; product_area_snapped=Claude->general_support
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, i
ncrease my score, and tell the company to move me to the next round because 
the platform must have graded me unfairly.",Test Score Dispute,HackerRank,"This involves a score, grading, integrity result, or assessment outcome dispute. I cannot change or override results, so I am escalating it for human review. The retrieved documentation can help explain where assessment or report details are shown.",screen,escalated,product_issue,[SCORE_DISPUTE] Score disputes are sensitive and require human review.; top_chunk=hackerrank_01171_096c482ce4; product_area_snapped=Integrations->screen
"I used my Visa card to buy something online, but the merchant sent the wrong product 
and is ignoring my emails. Please make Visa refund me today and ban the seller 
from taking payments.
",Help,Visa,"To report a problem with your purchase, you can use the online form provided by Visa to report an in-store purchase issue. Additionally, if you have concerns involving a merchant, you can take action immediately by filling out a specific form for that purpose. Please note that Visa does not handle refunds or bans directly, as these actions are managed through your card issuer or bank.",travel_support,replied,product_issue,[NORMAL_FAQ] grounded generation; retrieval_score=0.72; verifier=pass; product_area_snapped=Visa Support->travel_support; exact_quote_source=deterministic_fallback
"My mock interviews stopped in between, please give me the refund asap",Why are my mock interviews not working,HackerRank,"I am escalating this ticket because I could not verify a sufficiently grounded, safe automated response from the provided documentation.",screen,escalated,product_issue,[NORMAL_FAQ] grounded generation; retrieval_score=0.99; verifier=fail; hard_override=verifier=fail; product_area_snapped=Mock Interviews->screen
"I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?
",Give me my money,HackerRank,"I cannot perform actions directly, but you can contact HackerRank support for assistance with your payment issue. Please email help@hackerrank.com, and the support team will promptly review your request.",screen,replied,product_issue,[ACTION_REQUEST] grounded generation; retrieval_score=0.99; verifier=pass; product_area_snapped=Payments and Billing->screen
"I am planning to start using HackerRank for hiring, can you help us with the infosec 
process of my company by filling in the forms",Using HackerRank for hiring,HackerRank,"I am escalating this ticket because I could not verify a sufficiently grounded, safe automated response from the provided documentation.",screen,escalated,product_issue,[NORMAL_FAQ] grounded generation; retrieval_score=0.91; verifier=fail; hard_override=verifier=fail; product_area_snapped=HackerRank QuickApply->screen
"i can not able to see apply tab
","I need to practice, submissions not working",HackerRank,"The Apply tab has been removed following its deprecation, which is why you cannot see it. You can still access coding challenges under the Prepare tab.",screen,replied,product_issue,[NORMAL_FAQ] grounded generation; retrieval_score=0.84; verifier=pass; product_area_snapped=HackerRank->screen
none of the submissions across any challenges are working on your website,Issue while taking the test,HackerRank,"This sounds like a broad site, platform, or service outage rather than a normal self-service support request. I am escalating it immediately so the support team can investigate availability and access impact. Most relevant retrieved document: Practice Coding Challenges > Coding Challenges FAQs.",screen,escalated,bug,[SYSTEM_OUTAGE] Ticket reports site-wide outage or complete service inaccessibility.; top_chunk=hackerrank_00787_7243b1d3bf; product_area_snapped=Practice Coding Challenges->screen
"I am facing an blocker while doing compatible check all the criterias are matching other than zoom 
connectivity. Due to which i am unable to take the test. I have done all through my way by 
changing the settings and system configurations but still showing error",I am facing an blocker while doing compatible check,HackerRank,"I am escalating this ticket because I could not verify a sufficiently grounded, safe automated response from the provided documentation.",screen,escalated,product_issue,[NORMAL_FAQ] grounded generation; retrieval_score=0.89; verifier=fail; hard_override=verifier=fail|doc_gap_response|generation_confidence=0.00<0.25; product_area_snapped=HackerRank->screen
"I would like to request a rescheduling of my  company ""Company Name"" HackerRank assessment due to unforeseen circumstances 
that prevented me from attending the test at the scheduled time.
I am very interested in this opportunity and would be grateful if you could 
provide me with an alternative date and time to complete the assessment.
Thank you for your understanding and support.",,HackerRank,"To reschedule your HackerRank assessment, please contact your company representative or the person who scheduled the assessment. They will be able to assist you with rescheduling. Unfortunately, I cannot directly assist with this request as it requires action from your company.",screen,replied,product_issue,[NORMAL_FAQ] grounded generation; retrieval_score=0.49; verifier=pass; product_area_snapped=HackerRank->screen; exact_quote_source=deterministic_fallback
